# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
7.900000e+01	1.511574e-02	1.576980e-02	4.096036e-02	1.427338e-02
8.000000e+01	1.456005e-02	1.497531e-02	4.017184e-02	1.379675e-02
8.100000e+01	1.445625e-02	1.502231e-02	3.939020e-02	1.346113e-02
8.200000e+01	1.424322e-02	1.521182e-02	3.860585e-02	1.323877e-02
8.300000e+01	1.379681e-02	1.512978e-02	3.787238e-02	1.282278e-02
8.400000e+01	1.385594e-02	1.554399e-02	3.730147e-02	1.275391e-02
8.500000e+01	1.419470e-02	1.573617e-02	3.671051e-02	1.253810e-02
8.600000e+01	1.428680e-02	1.593971e-02	3.636419e-02	1.232688e-02
8.700000e+01	1.351121e-02	1.627284e-02	3.505011e-02	1.247270e-02
8.800000e+01	1.331112e-02	1.658401e-02	3.454711e-02	1.238516e-02
8.900000e+01	1.332784e-02	1.684521e-02	3.410737e-02	1.246766e-02
9.000000e+01	1.330690e-02	1.724832e-02	3.375603e-02	1.249658e-02
9.100000e+01	1.321712e-02	1.756865e-02	3.327145e-02	1.262222e-02
9.200000e+01	1.342215e-02	1.761003e-02	3.221039e-02	1.283785e-02
9.300000e+01	1.370479e-02	1.794759e-02	3.174484e-02	1.327606e-02
9.400000e+01	1.400476e-02	1.793903e-02	3.152514e-02	1.370232e-02
9.500000e+01	1.458809e-02	1.690126e-02	3.084590e-02	1.421028e-02
9.600000e+01	1.454369e-02	1.595242e-02	3.014218e-02	1.402287e-02
9.700000e+01	1.380505e-02	1.498203e-02	2.971326e-02	1.320587e-02
9.800000e+01	1.269156e-02	1.391125e-02	2.945487e-02	1.207771e-02
9.900000e+01	1.138962e-02	1.276829e-02	2.936837e-02	1.075972e-02
1.000000e+02	1.002929e-02	1.163195e-02	2.900848e-02	9.365548e-03
1.010000e+02	9.635119e-03	1.067342e-02	2.776661e-02	8.581928e-03
1.020000e+02	9.413679e-03	1.086326e-02	2.743468e-02	8.327054e-03
1.030000e+02	9.266461e-03	1.088376e-02	2.722356e-02	8.237589e-03
1.040000e+02	9.446577e-03	1.064375e-02	2.716988e-02	8.314627e-03
1.050000e+02	9.276606e-03	1.085934e-02	2.693524e-02	8.213425e-03
1.060000e+02	9.186962e-03	1.102443e-02	2.630407e-02	8.171034e-03
1.070000e+02	9.053606e-03	1.106381e-02	2.570486e-02	8.040031e-03
1.080000e+02	9.196571e-03	1.117269e-02	2.548524e-02	8.227845e-03
1.090000e+02	8.961663e-03	1.140262e-02	2.477318e-02	8.053937e-03
1.100000e+02	8.927932e-03	1.148017e-02	2.484933e-02	8.117795e-03
1.110000e+02	8.986463e-03	1.175561e-02	2.440982e-02	8.240250e-03
1.120000e+02	8.955085e-03	1.193732e-02	2.375892e-02	8.225105e-03
1.130000e+02	8.970262e-03	1.222194e-02	2.377005e-02	8.320785e-03
1.140000e+02	9.129032e-03	1.258314e-02	2.365456e-02	8.522525e-03
1.150000e+02	9.113935e-03	1.263862e-02	2.328584e-02	8.560084e-03
1.160000e+02	9.426711e-03	1.249969e-02	2.235838e-02	8.888267e-03
1.170000e+02	9.897999e-03	1.282429e-02	2.195165e-02	9.305703e-03
1.180000e+02	1.065268e-02	1.276692e-02	2.172083e-02	9.985453e-03
1.190000e+02	1.122213e-02	1.229325e-02	2.180803e-02	1.035225e-02
1.200000e+02	1.112192e-02	1.194067e-02	2.186156e-02	1.007277e-02
1.210000e+02	1.065377e-02	1.149071e-02	2.161375e-02	9.578282e-03
1.220000e+02	9.960471e-03	1.081016e-02	2.113350e-02	8.917292e-03
1.230000e+02	9.090199e-03	9.958926e-03	2.071405e-02	8.080132e-03
1.240000e+02	8.085348e-03	9.068945e-03	1.989460e-02	7.086020e-03
1.250000e+02	7.021359e-03	8.276956e-03	1.972504e-02	6.013181e-03
1.260000e+02	6.544114e-03	7.652470e-03	1.998908e-02	5.511937e-03
1.270000e+02	6.414452e-03	7.666546e-03	1.995067e-02	5.470683e-03
1.280000e+02	6.466865e-03	7.625761e-03	1.964907e-02	5.427927e-03
1.290000e+02	6.450559e-03	7.460960e-03	1.929895e-02	5.496408e-03
1.300000e+02	6.127042e-03	7.477790e-03	1.906552e-02	5.684857e-03
1.310000e+02	6.288324e-03	7.631137e-03	1.879459e-02	5.497958e-03
1.320000e+02	6.027381e-03	7.707069e-03	1.799047e-02	5.243783e-03
1.330000e+02	6.262024e-03	7.750258e-03	1.811215e-02	5.413817e-03
1.340000e+02	6.048836e-03	7.768365e-03	1.807957e-02	5.306448e-03
1.350000e+02	5.934024e-03	7.976171e-03	1.780702e-02	5.237192e-03
1.360000e+02	5.905397e-03	8.101211e-03	1.761215e-02	5.272520e-03
1.370000e+02	5.873378e-03	8.230621e-03	1.753422e-02	5.260733e-03
1.380000e+02	5.955499e-03	8.409809e-03	1.738309e-02	5.357464e-03
1.390000e+02	5.812010e-03	8.556671e-03	1.714315e-02	5.265416e-03
1.400000e+02	5.969861e-03	8.757281e-03	1.658447e-02	5.383302e-03
1.410000e+02	6.063473e-03	9.044236e-03	1.613771e-02	5.481038e-03
1.420000e+02	6.196416e-03	9.170098e-03	1.602459e-02	5.562277e-03
1.430000e+02	6.476564e-03	9.011666e-03	1.597024e-02	5.761222e-03
1.440000e+02	6.904322e-03	9.328155e-03	1.601747e-02	6.144541e-03
1.450000e+02	7.503265e-03	9.383480e-03	1.598854e-02	6.690827e-03
1.460000e+02	8.197154e-03	9.494080e-03	1.590483e-02	7.190158e-03
1.470000e+02	8.683186e-03	9.259886e-03	1.570295e-02	7.384086e-03
1.480000e+02	8.773979e-03	9.140603e-03	1.540056e-02	7.338519e-03
1.490000e+02	8.563070e-03	9.008247e-03	1.490196e-02	7.136527e-03
1.500000e+02	8.179839e-03	8.571909e-03	1.463840e-02	6.857440e-03
1.510000e+02	7.592844e-03	7.894972e-03	1.452484e-02	6.373285e-03
1.520000e+02	6.801106e-03	7.145576e-03	1.447361e-02	5.651176e-03
1.530000e+02	5.877011e-03	6.486132e-03	1.451744e-02	4.764809e-03
1.540000e+02	4.938608e-03	6.010304e-03	1.451640e-02	4.036398e-03
1.550000e+02	4.362637e-03	5.686590e-03	1.437270e-02	3.886687e-03
1.560000e+02	4.243900e-03	5.471896e-03	1.413476e-02	3.938875e-03
1.570000e+02	4.269406e-03	5.305776e-03	1.390398e-02	4.321296e-03
1.580000e+02	4.390497e-03	5.256301e-03	1.376741e-02	4.401595e-03
1.590000e+02	4.160436e-03	5.169248e-03	1.340132e-02	4.132234e-03
1.600000e+02	3.943523e-03	5.178156e-03	1.317769e-02	3.542983e-03
1.610000e+02	4.081886e-03	5.304348e-03	1.317433e-02	3.429201e-03
1.620000e+02	3.938538e-03	5.374305e-03	1.317599e-02	3.420288e-03
1.630000e+02	4.038317e-03	5.420058e-03	1.311946e-02	3.384523e-03
