# x/c	-C_p
1.007968	-0.810851
1.006843	-0.799464
1.005317	-0.788213
1.003402	-0.778788
1.001107	-0.770666
0.998443	-0.763370
0.995417	-0.756661
0.992036	-0.750480
0.988309	-0.744739
0.984241	-0.739338
0.979841	-0.734229
0.975115	-0.729386
0.970070	-0.724705
0.964713	-0.720211
0.959052	-0.715901
0.953092	-0.711739
0.946842	-0.707712
0.940308	-0.703760
0.933498	-0.699931
0.926418	-0.696244
0.919076	-0.692626
0.911480	-0.689086
0.903637	-0.685626
0.895553	-0.682208
0.887237	-0.678882
0.878696	-0.675612
0.869938	-0.672390
0.860969	-0.669260
0.851798	-0.666167
0.842432	-0.663117
0.832879	-0.660114
0.823146	-0.657165
0.813240	-0.654274
0.803169	-0.651394
0.792942	-0.648573
0.782564	-0.645797
0.772043	-0.643055
0.761388	-0.640375
0.750605	-0.637727
0.739702	-0.635126
0.728685	-0.632611
0.717563	-0.630166
0.706341	-0.627755
0.695028	-0.625406
0.683631	-0.623148
0.672156	-0.620996
0.660610	-0.619036
0.649000	-0.617385
0.637333	-0.616071
0.625616	-0.614908
0.613855	-0.613458
0.602056	-0.611341
0.590227	-0.609004
0.578373	-0.608321
0.566501	-0.612367
0.554617	-0.623236
0.542727	-0.637289
0.530838	-0.640694
0.518955	-0.611702
0.507084	-0.539798
0.495232	-0.449153
0.483403	-0.384312
0.471604	-0.364824
0.459840	-0.373004
0.448117	-0.384743
0.436440	-0.390249
0.424815	-0.390282
0.413247	-0.388643
0.401742	-0.387924
0.390304	-0.388676
0.378939	-0.390307
0.367653	-0.392167
0.356449	-0.393943
0.345334	-0.395608
0.334312	-0.397267
0.323388	-0.399039
0.312567	-0.400963
0.301854	-0.403031
0.291254	-0.405242
0.280771	-0.407606
0.270410	-0.410104
0.260176	-0.412703
0.250074	-0.415429
0.240108	-0.418329
0.230282	-0.421387
0.220602	-0.424548
0.211071	-0.427864
0.201694	-0.431345
0.192475	-0.434980
0.183420	-0.438789
0.174531	-0.442751
0.165814	-0.446894
0.157273	-0.451255
0.148911	-0.455800
0.140734	-0.460526
0.132745	-0.465477
0.124948	-0.470653
0.117347	-0.476076
0.109947	-0.481791
0.102751	-0.487779
0.095763	-0.494086
0.088988	-0.500758
0.082428	-0.507771
0.076089	-0.515187
0.069973	-0.523033
0.064084	-0.531430
0.058427	-0.540493
0.053005	-0.550211
0.047821	-0.560650
0.042880	-0.571980
0.038184	-0.584359
0.033738	-0.597887
0.029546	-0.612808
0.025611	-0.629407
0.021936	-0.647958
0.018527	-0.668887
0.015388	-0.692510
0.012522	-0.719258
0.009935	-0.749496
0.007632	-0.783242
0.005620	-0.820259
0.003906	-0.859596
0.002497	-0.899265
0.001400	-0.936087
0.000618	-0.966171
0.000153	-0.985794
0.000000	-0.992500
0.000153	-0.985550
0.000618	-0.965694
0.001400	-0.935403
0.002497	-0.898410
0.003906	-0.858610
0.005620	-0.819180
0.007632	-0.782099
0.009935	-0.748315
0.012522	-0.718056
0.015388	-0.691301
0.018527	-0.667679
0.021936	-0.646757
0.025611	-0.628216
0.029546	-0.611629
0.033738	-0.596722
0.038184	-0.583207
0.042880	-0.570840
0.047821	-0.559523
0.053005	-0.549096
0.058427	-0.539389
0.064084	-0.530336
0.069973	-0.521949
0.076089	-0.514112
0.082428	-0.506705
0.088988	-0.499700
0.095763	-0.493034
0.102751	-0.486733
0.109947	-0.480751
0.117347	-0.475040
0.124948	-0.469621
0.132745	-0.464448
0.140734	-0.459499
0.148911	-0.454774
0.157273	-0.450230
0.165814	-0.445869
0.174531	-0.441725
0.183420	-0.437762
0.192475	-0.433949
0.201694	-0.430312
0.211071	-0.426827
0.220602	-0.423505
0.230282	-0.420338
0.240108	-0.417273
0.250074	-0.414365
0.260176	-0.411630
0.270410	-0.409022
0.280771	-0.406516
0.291254	-0.404141
0.301854	-0.401913
0.312567	-0.399818
0.323388	-0.397855
0.334312	-0.396048
0.345334	-0.394387
0.356449	-0.392786
0.367653	-0.391135
0.378939	-0.389359
0.390304	-0.387566
0.401742	-0.386233
0.413247	-0.386116
0.424815	-0.387432
0.436440	-0.388719
0.448117	-0.386552
0.459840	-0.377803
0.471604	-0.365976
0.483403	-0.368222
0.495232	-0.410024
0.507084	-0.494056
0.518955	-0.581972
0.530838	-0.633129
0.542727	-0.643055
0.554617	-0.631800
0.566501	-0.618382
0.578373	-0.611117
0.590227	-0.609946
0.602056	-0.611797
0.613855	-0.614076
0.625616	-0.615731
0.637333	-0.616900
0.649000	-0.618051
0.660610	-0.619488
0.672156	-0.621264
0.683631	-0.623285
0.695028	-0.625451
0.706341	-0.627725
0.717563	-0.630066
0.728685	-0.632443
0.739702	-0.634893
0.750605	-0.637436
0.761388	-0.640031
0.772043	-0.642663
0.782564	-0.645361
0.792942	-0.648095
0.803169	-0.650878
0.813240	-0.653721
0.823146	-0.656577
0.832879	-0.659492
0.842432	-0.662464
0.851798	-0.665481
0.860969	-0.668544
0.869938	-0.671644
0.878696	-0.674836
0.887237	-0.678076
0.895553	-0.681372
0.903637	-0.684759
0.911480	-0.688189
0.919076	-0.691698
0.926418	-0.695283
0.933498	-0.698937
0.940308	-0.702731
0.946842	-0.706648
0.953092	-0.710637
0.959052	-0.714760
0.964713	-0.719027
0.970070	-0.723476
0.975115	-0.728108
0.979841	-0.732899
0.984241	-0.737953
0.988309	-0.743292
0.992036	-0.748966
0.995417	-0.755073
0.998443	-0.761702
1.001107	-0.768912
1.003402	-0.776956
1.005317	-0.786323
1.006843	-0.797528
1.007968	-0.809296
