# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
7.900000e+01	1.082461e-02	2.281401e-02	3.798119e-02	1.008888e-02
8.000000e+01	1.045571e-02	2.210957e-02	3.723506e-02	9.741360e-03
8.100000e+01	1.027133e-02	2.096258e-02	3.649460e-02	9.490423e-03
8.200000e+01	1.019148e-02	1.960897e-02	3.560022e-02	9.418468e-03
8.300000e+01	1.008247e-02	1.987327e-02	3.474430e-02	9.319203e-03
8.400000e+01	9.933608e-03	2.011595e-02	3.389270e-02	9.179709e-03
8.500000e+01	9.768698e-03	2.008370e-02	3.308260e-02	9.002614e-03
8.600000e+01	9.543344e-03	1.975555e-02	3.251377e-02	8.794096e-03
8.700000e+01	9.243231e-03	1.914863e-02	3.181408e-02	8.515739e-03
8.800000e+01	9.072208e-03	1.816732e-02	3.104063e-02	8.289943e-03
8.900000e+01	9.005806e-03	1.708982e-02	3.038928e-02	8.233280e-03
9.000000e+01	8.912005e-03	1.739922e-02	2.964810e-02	8.150893e-03
9.100000e+01	8.811623e-03	1.757425e-02	2.907991e-02	8.037895e-03
9.200000e+01	8.680553e-03	1.753681e-02	2.854497e-02	7.918614e-03
9.300000e+01	8.498454e-03	1.727177e-02	2.783908e-02	7.752982e-03
9.400000e+01	8.259498e-03	1.677709e-02	2.734709e-02	7.528920e-03
9.500000e+01	8.066711e-03	1.597129e-02	2.667073e-02	7.300157e-03
9.600000e+01	8.006249e-03	1.504547e-02	2.609355e-02	7.250736e-03
9.700000e+01	7.950015e-03	1.528759e-02	2.570138e-02	7.180522e-03
9.800000e+01	7.876933e-03	1.542954e-02	2.513416e-02	7.118195e-03
9.900000e+01	7.768380e-03	1.541249e-02	2.468976e-02	7.022727e-03
1.000000e+02	7.619103e-03	1.522356e-02	2.414513e-02	6.888811e-03
1.010000e+02	7.457381e-03	1.484212e-02	2.364175e-02	6.729624e-03
1.020000e+02	7.240948e-03	1.420820e-02	2.321650e-02	6.534924e-03
1.030000e+02	7.179445e-03	1.344550e-02	2.277087e-02	6.426118e-03
1.040000e+02	7.140540e-03	1.348980e-02	2.235671e-02	6.396253e-03
1.050000e+02	7.075053e-03	1.360429e-02	2.192447e-02	6.341928e-03
1.060000e+02	6.988059e-03	1.362627e-02	2.148050e-02	6.260819e-03
1.070000e+02	6.897911e-03	1.350284e-02	2.104740e-02	6.172884e-03
1.080000e+02	6.766876e-03	1.322928e-02	2.069220e-02	6.057223e-03
1.090000e+02	6.596978e-03	1.275847e-02	2.029626e-02	5.898952e-03
1.100000e+02	6.473102e-03	1.214542e-02	1.996323e-02	5.750600e-03
1.110000e+02	6.429225e-03	1.194276e-02	1.956063e-02	5.717220e-03
1.120000e+02	6.391208e-03	1.205088e-02	1.921773e-02	5.671237e-03
1.130000e+02	6.340714e-03	1.209183e-02	1.885141e-02	5.630459e-03
1.140000e+02	6.259920e-03	1.202855e-02	1.846328e-02	5.561735e-03
1.150000e+02	6.165035e-03	1.185379e-02	1.822340e-02	5.468217e-03
