# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
1.000000e+00	1.097947e+00	1.442215e+00	1.222842e+00	1.126742e+00
2.000000e+00	1.181427e+00	2.072077e+00	1.589267e+00	1.250971e+00
3.000000e+00	1.138153e+00	2.396526e+00	1.827481e+00	1.231700e+00
4.000000e+00	9.753851e-01	2.419614e+00	1.898184e+00	1.079035e+00
5.000000e+00	7.158570e-01	2.184046e+00	1.807750e+00	8.199415e-01
6.000000e+00	3.929233e-01	1.757163e+00	1.549898e+00	4.915201e-01
7.000000e+00	1.767975e-01	1.216487e+00	1.210990e+00	2.270154e-01
8.000000e+00	3.129006e-01	7.678973e-01	1.050622e+00	3.728166e-01
9.000000e+00	3.729864e-01	7.021293e-01	9.404076e-01	4.309213e-01
1.000000e+01	3.831254e-01	6.711578e-01	9.412888e-01	4.329368e-01
1.100000e+01	3.475912e-01	5.780597e-01	8.695424e-01	3.861153e-01
1.200000e+01	2.854985e-01	5.402223e-01	7.682565e-01	3.119390e-01
1.300000e+01	2.100234e-01	5.125577e-01	7.720405e-01	2.257056e-01
1.400000e+01	1.722267e-01	4.361840e-01	7.139216e-01	1.920764e-01
1.500000e+01	1.840980e-01	4.030577e-01	6.575983e-01	2.031599e-01
1.600000e+01	1.783199e-01	3.882581e-01	7.297428e-01	1.948871e-01
1.700000e+01	1.597590e-01	3.413772e-01	7.270559e-01	1.732552e-01
1.800000e+01	1.355920e-01	3.156521e-01	6.600011e-01	1.474879e-01
1.900000e+01	1.351122e-01	3.102484e-01	5.446404e-01	1.460175e-01
2.000000e+01	2.584625e-01	4.348254e-01	4.636959e-01	2.774669e-01
2.100000e+01	3.353562e-01	5.969945e-01	4.017362e-01	3.600835e-01
2.200000e+01	3.655382e-01	6.867997e-01	4.020118e-01	3.934381e-01
2.300000e+01	3.530737e-01	7.049718e-01	3.851140e-01	3.817261e-01
2.400000e+01	3.052526e-01	6.597501e-01	3.417887e-01	3.326857e-01
2.500000e+01	2.314150e-01	5.636341e-01	3.316240e-01	2.561471e-01
2.600000e+01	1.419952e-01	4.323085e-01	3.236362e-01	1.630235e-01
2.700000e+01	7.154088e-02	2.825666e-01	2.958141e-01	7.801322e-02
2.800000e+01	6.702341e-02	1.636156e-01	2.763842e-01	7.236325e-02
2.900000e+01	6.079701e-02	1.661013e-01	2.744949e-01	6.499685e-02
3.000000e+01	5.291936e-02	1.602801e-01	2.571427e-01	5.598847e-02
3.100000e+01	4.881563e-02	1.468857e-01	2.318567e-01	4.987200e-02
3.200000e+01	4.290274e-02	1.383838e-01	2.340438e-01	4.363191e-02
3.300000e+01	4.363666e-02	1.384614e-01	2.240396e-01	4.459602e-02
3.400000e+01	4.299379e-02	1.324619e-01	2.032080e-01	4.365530e-02
3.500000e+01	4.029153e-02	1.203345e-01	2.004602e-01	4.070483e-02
3.600000e+01	3.640835e-02	1.180104e-01	1.959962e-01	3.665079e-02
3.700000e+01	3.639262e-02	1.171661e-01	1.829040e-01	3.673833e-02
3.800000e+01	3.619794e-02	1.114050e-01	1.723680e-01	3.633607e-02
3.900000e+01	3.446880e-02	1.007809e-01	1.715780e-01	3.443284e-02
4.000000e+01	3.446062e-02	1.466240e-01	1.637620e-01	4.358106e-02
4.100000e+01	5.257945e-02	1.860989e-01	1.495945e-01	6.319907e-02
