# x/c	-C_p
1.007968	-0.907075
1.006843	-0.902038
1.005317	-0.896450
1.003402	-0.891865
1.001107	-0.888004
0.998443	-0.884561
0.995417	-0.881407
0.992036	-0.878532
0.988309	-0.875888
0.984241	-0.873417
0.979841	-0.871094
0.975115	-0.868922
0.970070	-0.866826
0.964713	-0.864830
0.959052	-0.862933
0.953092	-0.861109
0.946842	-0.859366
0.940308	-0.857653
0.933498	-0.856005
0.926418	-0.854437
0.919076	-0.852897
0.911480	-0.851399
0.903637	-0.849948
0.895553	-0.848510
0.887237	-0.847126
0.878696	-0.845767
0.869938	-0.844423
0.860969	-0.843132
0.851798	-0.841853
0.842432	-0.840593
0.832879	-0.839350
0.823146	-0.838129
0.813240	-0.836937
0.803169	-0.835735
0.792942	-0.834558
0.782564	-0.833395
0.772043	-0.832231
0.761388	-0.831092
0.750605	-0.829950
0.739702	-0.828803
0.728685	-0.827678
0.717563	-0.826563
0.706341	-0.825431
0.695028	-0.824299
0.683631	-0.823183
0.672156	-0.822063
0.660610	-0.820933
0.649000	-0.819799
0.637333	-0.818663
0.625616	-0.817532
0.613855	-0.816408
0.602056	-0.815258
0.590227	-0.814102
0.578373	-0.812953
0.566501	-0.811794
0.554617	-0.810637
0.542727	-0.809472
0.530838	-0.808302
0.518955	-0.807112
0.507084	-0.805919
0.495232	-0.804742
0.483403	-0.803557
0.471604	-0.802349
0.459840	-0.801157
0.448117	-0.799970
0.436440	-0.798769
0.424815	-0.797570
0.413247	-0.796361
0.401742	-0.795165
0.390304	-0.793984
0.378939	-0.792795
0.367653	-0.791610
0.356449	-0.790447
0.345334	-0.789298
0.334312	-0.788154
0.323388	-0.787032
0.312567	-0.785933
0.301854	-0.784845
0.291254	-0.783767
0.280771	-0.782725
0.270410	-0.781729
0.260176	-0.780747
0.250074	-0.779779
0.240108	-0.778867
0.230282	-0.778017
0.220602	-0.777180
0.211071	-0.776398
0.201694	-0.775672
0.192475	-0.774991
0.183420	-0.774388
0.174531	-0.773830
0.165814	-0.773332
0.157273	-0.772933
0.148911	-0.772612
0.140734	-0.772362
0.132745	-0.772217
0.124948	-0.772169
0.117347	-0.772221
0.109947	-0.772418
0.102751	-0.772730
0.095763	-0.773189
0.088988	-0.773839
0.082428	-0.774657
0.076089	-0.775694
0.069973	-0.776933
0.064084	-0.778438
0.058427	-0.780304
0.053005	-0.782522
0.047821	-0.785125
0.042880	-0.788225
0.038184	-0.791931
0.033738	-0.796291
0.029546	-0.801467
0.025611	-0.807644
0.021936	-0.814986
0.018527	-0.823794
0.015388	-0.834279
0.012522	-0.846757
0.009935	-0.861540
0.007632	-0.878722
0.005620	-0.898284
0.003906	-0.919739
0.002497	-0.941964
0.001400	-0.963057
0.000618	-0.980555
0.000153	-0.992035
0.000000	-0.995868
0.000153	-0.991575
0.000618	-0.979660
0.001400	-0.961780
0.002497	-0.940384
0.003906	-0.917936
0.005620	-0.896335
0.007632	-0.876689
0.009935	-0.859472
0.012522	-0.844689
0.015388	-0.832235
0.018527	-0.821790
0.021936	-0.813030
0.025611	-0.805742
0.029546	-0.799620
0.033738	-0.794501
0.038184	-0.790196
0.042880	-0.786544
0.047821	-0.783496
0.053005	-0.780943
0.058427	-0.778774
0.064084	-0.776955
0.069973	-0.775495
0.076089	-0.774299
0.082428	-0.773305
0.088988	-0.772527
0.095763	-0.771915
0.102751	-0.771494
0.109947	-0.771218
0.117347	-0.771055
0.124948	-0.771036
0.132745	-0.771116
0.140734	-0.771290
0.148911	-0.771569
0.157273	-0.771917
0.165814	-0.772342
0.174531	-0.772864
0.183420	-0.773444
0.192475	-0.774069
0.201694	-0.774770
0.211071	-0.775514
0.220602	-0.776313
0.230282	-0.777166
0.240108	-0.778030
0.250074	-0.778955
0.260176	-0.779936
0.270410	-0.780930
0.280771	-0.781937
0.291254	-0.782989
0.301854	-0.784076
0.312567	-0.785174
0.323388	-0.786281
0.334312	-0.787412
0.345334	-0.788564
0.356449	-0.789721
0.367653	-0.790891
0.378939	-0.792083
0.390304	-0.793280
0.401742	-0.794468
0.413247	-0.795671
0.424815	-0.796887
0.436440	-0.798093
0.448117	-0.799301
0.459840	-0.800494
0.471604	-0.801693
0.483403	-0.802906
0.495232	-0.804098
0.507084	-0.805280
0.518955	-0.806478
0.530838	-0.807672
0.542727	-0.808847
0.554617	-0.810016
0.566501	-0.811176
0.578373	-0.812338
0.590227	-0.813490
0.602056	-0.814648
0.613855	-0.815800
0.625616	-0.816926
0.637333	-0.818057
0.649000	-0.819194
0.660610	-0.820328
0.672156	-0.821458
0.683631	-0.822577
0.695028	-0.823692
0.706341	-0.824823
0.717563	-0.825953
0.728685	-0.827066
0.739702	-0.828188
0.750605	-0.829333
0.761388	-0.830472
0.772043	-0.831608
0.782564	-0.832768
0.792942	-0.833928
0.803169	-0.835100
0.813240	-0.836298
0.823146	-0.837484
0.832879	-0.838699
0.842432	-0.839937
0.851798	-0.841190
0.860969	-0.842462
0.869938	-0.843745
0.878696	-0.845081
0.887237	-0.846430
0.895553	-0.847804
0.903637	-0.849231
0.911480	-0.850670
0.919076	-0.852155
0.926418	-0.853680
0.933498	-0.855231
0.940308	-0.856863
0.946842	-0.858557
0.953092	-0.860279
0.959052	-0.862079
0.964713	-0.863952
0.970070	-0.865920
0.975115	-0.867985
0.979841	-0.870123
0.984241	-0.872409
0.988309	-0.874840
0.992036	-0.877438
0.995417	-0.880263
0.998443	-0.883365
1.001107	-0.886752
1.003402	-0.890563
1.005317	-0.895105
1.006843	-0.900671
1.007968	-0.906102
