# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
1.000000e+00	1.183821e+00	1.262293e+00	1.022234e+00	1.226440e+00
2.000000e+00	1.497799e+00	1.723005e+00	1.022009e+00	1.609251e+00
3.000000e+00	1.693107e+00	2.011747e+00	9.951846e-01	1.833165e+00
4.000000e+00	1.745689e+00	2.091099e+00	9.649796e-01	1.871847e+00
5.000000e+00	1.610695e+00	1.928561e+00	9.274315e-01	1.697532e+00
6.000000e+00	1.353491e+00	1.613113e+00	8.778438e-01	1.396728e+00
7.000000e+00	1.036717e+00	1.228618e+00	8.050998e-01	1.045846e+00
8.000000e+00	7.036841e-01	8.343075e-01	6.837093e-01	6.951501e-01
9.000000e+00	3.828855e-01	4.656526e-01	6.436354e-01	3.722888e-01
1.000000e+01	1.668438e-01	3.905955e-01	6.191483e-01	2.024228e-01
1.100000e+01	1.941724e-01	3.416780e-01	5.861819e-01	2.932577e-01
1.200000e+01	2.702007e-01	2.969155e-01	5.369771e-01	3.733602e-01
1.300000e+01	3.166369e-01	2.429311e-01	4.551260e-01	4.168483e-01
1.400000e+01	2.926682e-01	1.961357e-01	4.936693e-01	3.752052e-01
1.500000e+01	2.577468e-01	1.727430e-01	5.008596e-01	3.208853e-01
1.600000e+01	2.223741e-01	1.588750e-01	4.736411e-01	2.689170e-01
1.700000e+01	1.881246e-01	1.418658e-01	4.216828e-01	2.209693e-01
1.800000e+01	1.542288e-01	1.236066e-01	3.859719e-01	1.757865e-01
1.900000e+01	1.183201e-01	1.051509e-01	3.427522e-01	1.305124e-01
2.000000e+01	1.251145e-01	8.794741e-02	3.056864e-01	1.500669e-01
2.100000e+01	1.414707e-01	7.162967e-02	3.038954e-01	1.664118e-01
2.200000e+01	1.440535e-01	7.440615e-02	2.886274e-01	1.687103e-01
2.300000e+01	1.366405e-01	7.739744e-02	2.562624e-01	1.595216e-01
2.400000e+01	1.239172e-01	7.675280e-02	2.154880e-01	1.450406e-01
2.500000e+01	1.018768e-01	7.444390e-02	2.222446e-01	1.199234e-01
2.600000e+01	1.074143e-01	1.207816e-01	2.195506e-01	1.103990e-01
2.700000e+01	1.770667e-01	2.822231e-01	2.372632e-01	2.553238e-01
2.800000e+01	2.935683e-01	4.117808e-01	2.484635e-01	3.722577e-01
2.900000e+01	3.837104e-01	5.074453e-01	2.482225e-01	4.577460e-01
3.000000e+01	4.459375e-01	5.676269e-01	2.370448e-01	5.109434e-01
3.100000e+01	4.787604e-01	5.915220e-01	2.111463e-01	5.315219e-01
3.200000e+01	4.830262e-01	5.805718e-01	1.769789e-01	5.212881e-01
3.300000e+01	4.619093e-01	5.389350e-01	1.428213e-01	4.844489e-01
3.400000e+01	4.189621e-01	4.717609e-01	1.355043e-01	4.257139e-01
3.500000e+01	3.586265e-01	3.853078e-01	1.293004e-01	3.505525e-01
3.600000e+01	2.858430e-01	2.861801e-01	1.240340e-01	2.646249e-01
3.700000e+01	2.057825e-01	1.809186e-01	1.191855e-01	1.734811e-01
3.800000e+01	1.230155e-01	7.534777e-02	1.152688e-01	8.189437e-02
3.900000e+01	4.195119e-02	4.275856e-02	1.107971e-01	4.449573e-02
4.000000e+01	3.607904e-02	4.362867e-02	1.062496e-01	3.861672e-02
4.100000e+01	3.089700e-02	4.509616e-02	1.019284e-01	3.293968e-02
4.200000e+01	3.081256e-02	4.506598e-02	9.818679e-02	3.363380e-02
4.300000e+01	3.170452e-02	4.070222e-02	9.671387e-02	3.371801e-02
4.400000e+01	3.093005e-02	3.640936e-02	9.467441e-02	3.567507e-02
4.500000e+01	3.218211e-02	3.202542e-02	9.303210e-02	3.662458e-02
4.600000e+01	3.147123e-02	3.209854e-02	9.053417e-02	3.518015e-02
4.700000e+01	2.934917e-02	3.068404e-02	8.821241e-02	3.225954e-02
4.800000e+01	2.630419e-02	2.816089e-02	8.560819e-02	2.858839e-02
4.900000e+01	2.419838e-02	2.724086e-02	8.261490e-02	2.580985e-02
5.000000e+01	2.406287e-02	2.764423e-02	7.972642e-02	2.529391e-02
5.100000e+01	2.363483e-02	2.805890e-02	7.693944e-02	2.451695e-02
5.200000e+01	2.310600e-02	2.839465e-02	7.578473e-02	2.411162e-02
5.300000e+01	2.290577e-02	2.885552e-02	7.416541e-02	2.360512e-02
5.400000e+01	3.099418e-02	4.236684e-02	7.243467e-02	3.942458e-02
5.500000e+01	5.958919e-02	7.888000e-02	7.086628e-02	7.123787e-02
5.600000e+01	8.174817e-02	1.063399e-01	6.887746e-02	9.515401e-02
5.700000e+01	9.700687e-02	1.243519e-01	6.702252e-02	1.108197e-01
5.800000e+01	1.053432e-01	1.331126e-01	6.525878e-02	1.184042e-01
5.900000e+01	1.070682e-01	1.332306e-01	6.325068e-02	1.184437e-01
6.000000e+01	1.027792e-01	1.256579e-01	6.131779e-02	1.117745e-01
6.100000e+01	9.330346e-02	1.116105e-01	5.966862e-02	9.945921e-02
6.200000e+01	7.969564e-02	9.256045e-02	5.873526e-02	8.278507e-02
6.300000e+01	6.311324e-02	7.006320e-02	5.745271e-02	6.310861e-02
