# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
1.000000e+00	1.139682e+00	1.483638e+00	1.229059e+00	1.168942e+00
2.000000e+00	1.255640e+00	2.179214e+00	1.607523e+00	1.328753e+00
3.000000e+00	1.221042e+00	2.540101e+00	1.855390e+00	1.320526e+00
4.000000e+00	1.048039e+00	2.571247e+00	1.935385e+00	1.159013e+00
5.000000e+00	7.641637e-01	2.319434e+00	1.851693e+00	8.760187e-01
6.000000e+00	4.075170e-01	1.858451e+00	1.586582e+00	5.136284e-01
7.000000e+00	2.109759e-01	1.320200e+00	1.292676e+00	2.706644e-01
8.000000e+00	3.712335e-01	9.140373e-01	1.180937e+00	4.422170e-01
9.000000e+00	4.423329e-01	8.300202e-01	9.869995e-01	5.111535e-01
1.000000e+01	4.562668e-01	7.929474e-01	9.643246e-01	5.156868e-01
1.100000e+01	4.145976e-01	6.839037e-01	8.885483e-01	4.604841e-01
1.200000e+01	3.413585e-01	6.384783e-01	7.859815e-01	3.727670e-01
1.300000e+01	2.520965e-01	6.063318e-01	7.925986e-01	2.701854e-01
1.400000e+01	2.043852e-01	5.168924e-01	8.814794e-01	2.279830e-01
1.500000e+01	2.190698e-01	4.764044e-01	1.032118e+00	2.412267e-01
1.600000e+01	2.121182e-01	4.592342e-01	1.080622e+00	2.316287e-01
1.700000e+01	1.902409e-01	4.041362e-01	1.035524e+00	2.060170e-01
1.800000e+01	1.615405e-01	3.732449e-01	9.144785e-01	1.756694e-01
1.900000e+01	1.648666e-01	3.670545e-01	7.386727e-01	1.818100e-01
2.000000e+01	3.011941e-01	5.313184e-01	5.313019e-01	3.260566e-01
2.100000e+01	3.847606e-01	6.968136e-01	4.127689e-01	4.150047e-01
2.200000e+01	4.157797e-01	7.830709e-01	4.130923e-01	4.486667e-01
2.300000e+01	3.991903e-01	7.929524e-01	3.955526e-01	4.322527e-01
2.400000e+01	3.433479e-01	7.352568e-01	3.520555e-01	3.745619e-01
2.500000e+01	2.588818e-01	6.242737e-01	3.413523e-01	2.867849e-01
2.600000e+01	1.573956e-01	4.769953e-01	3.332658e-01	1.810367e-01
2.700000e+01	8.558525e-02	3.116523e-01	3.047119e-01	9.313179e-02
2.800000e+01	8.049664e-02	1.935777e-01	2.848772e-01	8.669139e-02
2.900000e+01	7.286699e-02	1.966107e-01	2.832551e-01	7.765520e-02
3.000000e+01	6.361933e-02	1.896311e-01	2.655686e-01	6.711745e-02
3.100000e+01	5.816565e-02	1.739061e-01	2.391478e-01	5.931880e-02
3.200000e+01	5.123273e-02	1.637860e-01	2.418847e-01	5.203948e-02
3.300000e+01	5.184309e-02	1.639383e-01	2.319291e-01	5.289144e-02
3.400000e+01	5.112463e-02	1.567307e-01	2.098349e-01	5.182304e-02
3.500000e+01	4.801305e-02	1.425018e-01	2.074130e-01	4.844485e-02
3.600000e+01	4.347427e-02	1.397068e-01	2.029627e-01	4.369579e-02
3.700000e+01	4.317553e-02	1.385768e-01	1.893155e-01	4.353686e-02
3.800000e+01	4.302442e-02	1.318492e-01	1.785278e-01	4.311966e-02
3.900000e+01	4.109058e-02	1.193614e-01	1.778985e-01	4.099495e-02
4.000000e+01	3.793882e-02	1.717149e-01	1.698736e-01	4.807143e-02
4.100000e+01	5.673490e-02	2.122118e-01	1.549475e-01	6.926998e-02
4.200000e+01	6.442270e-02	2.325313e-01	1.560727e-01	7.769446e-02
4.300000e+01	6.109929e-02	2.334236e-01	1.519793e-01	7.440857e-02
4.400000e+01	4.873349e-02	2.173731e-01	1.424590e-01	6.146525e-02
4.500000e+01	3.239908e-02	1.881377e-01	1.370151e-01	4.159867e-02
4.600000e+01	3.284650e-02	1.502799e-01	1.356428e-01	3.229458e-02
4.700000e+01	3.206359e-02	1.085455e-01	1.298615e-01	3.138213e-02
4.800000e+01	3.032672e-02	9.157059e-02	1.204719e-01	2.957455e-02
4.900000e+01	2.868024e-02	8.993601e-02	1.208919e-01	2.818377e-02
5.000000e+01	2.921701e-02	8.515757e-02	1.177400e-01	2.847711e-02
5.100000e+01	2.874702e-02	7.943410e-02	1.114847e-01	2.790491e-02
5.200000e+01	2.736016e-02	8.076738e-02	1.078104e-01	2.646309e-02
5.300000e+01	2.565107e-02	7.928797e-02	1.064455e-01	2.500245e-02
5.400000e+01	2.619472e-02	7.516007e-02	1.024740e-01	2.533965e-02
5.500000e+01	2.588683e-02	7.053003e-02	9.634673e-02	2.494168e-02
5.600000e+01	2.483666e-02	7.165541e-02	9.611423e-02	2.384476e-02
5.700000e+01	2.317652e-02	7.039674e-02	9.380316e-02	2.234018e-02
5.800000e+01	2.356633e-02	6.688129e-02	8.955774e-02	2.267928e-02
5.900000e+01	2.341532e-02	6.288280e-02	8.661699e-02	2.240336e-02
6.000000e+01	2.262292e-02	6.720362e-02	8.555088e-02	2.157403e-02
6.100000e+01	2.125740e-02	7.405608e-02	8.285026e-02	2.021479e-02
6.200000e+01	2.131764e-02	7.629620e-02	7.869108e-02	2.039302e-02
6.300000e+01	2.126852e-02	7.426598e-02	7.781708e-02	2.022537e-02
6.400000e+01	2.066177e-02	6.869483e-02	7.623591e-02	1.958547e-02
6.500000e+01	1.958956e-02	6.056827e-02	7.341806e-02	1.851606e-02
6.600000e+01	1.935657e-02	5.404999e-02	7.085024e-02	1.841631e-02
6.700000e+01	1.935300e-02	5.050777e-02	6.990330e-02	1.829624e-02
6.800000e+01	1.893196e-02	5.150274e-02	6.807357e-02	1.784388e-02
6.900000e+01	1.809277e-02	5.098501e-02	6.531741e-02	1.700826e-02
7.000000e+01	1.764573e-02	4.899250e-02	6.412690e-02	1.669475e-02
7.100000e+01	1.768988e-02	4.550427e-02	6.287364e-02	1.663851e-02
7.200000e+01	1.740161e-02	4.649296e-02	6.094883e-02	1.632074e-02
7.300000e+01	1.673941e-02	4.619054e-02	5.872328e-02	1.565895e-02
7.400000e+01	1.611538e-02	4.460413e-02	5.804323e-02	1.516668e-02
7.500000e+01	1.618372e-02	4.169865e-02	5.665226e-02	1.518698e-02
7.600000e+01	1.600479e-02	4.211039e-02	5.473200e-02	1.494425e-02
7.700000e+01	1.551995e-02	4.199626e-02	5.345068e-02	1.444945e-02
7.800000e+01	1.477376e-02	4.076348e-02	5.257956e-02	1.384175e-02
7.900000e+01	1.487141e-02	3.838172e-02	5.116120e-02	1.389109e-02
8.000000e+01	1.477453e-02	3.822777e-02	4.930296e-02	1.373225e-02
8.100000e+01	1.441977e-02	3.830214e-02	4.865919e-02	1.337081e-02
8.200000e+01	1.380017e-02	3.736588e-02	4.769957e-02	1.276856e-02
8.300000e+01	1.368611e-02	3.544753e-02	4.632184e-02	1.273374e-02
8.400000e+01	1.363069e-02	3.480337e-02	4.508738e-02	1.262494e-02
8.500000e+01	1.339217e-02	3.500870e-02	4.433010e-02	1.237264e-02
8.600000e+01	1.292316e-02	3.434858e-02	4.335471e-02	1.190893e-02
8.700000e+01	1.263553e-02	3.282334e-02	4.205137e-02	1.170767e-02
