# x/c	-C_p
1.007968	-0.907298
1.006843	-0.902297
1.005317	-0.896772
1.003402	-0.892258
1.001107	-0.888471
0.998443	-0.885105
0.995417	-0.882031
0.992036	-0.879240
0.988309	-0.876683
0.984241	-0.874300
0.979841	-0.872068
0.975115	-0.869988
0.970070	-0.867988
0.964713	-0.866089
0.959052	-0.864290
0.953092	-0.862567
0.946842	-0.860927
0.940308	-0.859319
0.933498	-0.857776
0.926418	-0.856317
0.919076	-0.854888
0.911480	-0.853502
0.903637	-0.852165
0.895553	-0.850843
0.887237	-0.849579
0.878696	-0.848341
0.869938	-0.847120
0.860969	-0.845955
0.851798	-0.844803
0.842432	-0.843674
0.832879	-0.842564
0.823146	-0.841478
0.813240	-0.840424
0.803169	-0.839363
0.792942	-0.838330
0.782564	-0.837313
0.772043	-0.836299
0.761388	-0.835313
0.750605	-0.834326
0.739702	-0.833338
0.728685	-0.832375
0.717563	-0.831426
0.706341	-0.830463
0.695028	-0.829504
0.683631	-0.828565
0.672156	-0.827625
0.660610	-0.826680
0.649000	-0.825735
0.637333	-0.824792
0.625616	-0.823859
0.613855	-0.822937
0.602056	-0.821994
0.590227	-0.821051
0.578373	-0.820120
0.566501	-0.819185
0.554617	-0.818258
0.542727	-0.817328
0.530838	-0.816400
0.518955	-0.815460
0.507084	-0.814523
0.495232	-0.813609
0.483403	-0.812695
0.471604	-0.811767
0.459840	-0.810862
0.448117	-0.809971
0.436440	-0.809075
0.424815	-0.808191
0.413247	-0.807307
0.401742	-0.806446
0.390304	-0.805610
0.378939	-0.804777
0.367653	-0.803960
0.356449	-0.803176
0.345334	-0.802417
0.334312	-0.801676
0.323388	-0.800970
0.312567	-0.800301
0.301854	-0.799656
0.291254	-0.799036
0.280771	-0.798467
0.270410	-0.797958
0.260176	-0.797481
0.250074	-0.797035
0.240108	-0.796662
0.230282	-0.796369
0.220602	-0.796108
0.211071	-0.795922
0.201694	-0.795815
0.192475	-0.795774
0.183420	-0.795834
0.174531	-0.795967
0.165814	-0.796184
0.157273	-0.796527
0.148911	-0.796978
0.140734	-0.797531
0.132745	-0.798223
0.124948	-0.799046
0.117347	-0.800006
0.109947	-0.801149
0.102751	-0.802450
0.095763	-0.803940
0.088988	-0.805665
0.082428	-0.807605
0.076089	-0.809815
0.069973	-0.812283
0.064084	-0.815067
0.058427	-0.818260
0.053005	-0.821856
0.047821	-0.825890
0.042880	-0.830463
0.038184	-0.835673
0.033738	-0.841557
0.029546	-0.848251
0.025611	-0.855900
0.021936	-0.864608
0.018527	-0.874583
0.015388	-0.885918
0.012522	-0.898739
0.009935	-0.913108
0.007632	-0.928809
0.005620	-0.945456
0.003906	-0.962160
0.002497	-0.977434
0.001400	-0.989263
0.000618	-0.995450
0.000153	-0.994183
0.000000	-0.984660
0.000153	-0.967089
0.000618	-0.942753
0.001400	-0.914259
0.002497	-0.884646
0.003906	-0.856477
0.005620	-0.831428
0.007632	-0.810224
0.009935	-0.792905
0.012522	-0.779039
0.015388	-0.768175
0.018527	-0.759725
0.021936	-0.753177
0.025611	-0.748196
0.029546	-0.744394
0.033738	-0.741554
0.038184	-0.739457
0.042880	-0.737923
0.047821	-0.736899
0.053005	-0.736274
0.058427	-0.735932
0.064084	-0.735845
0.069973	-0.736030
0.076089	-0.736396
0.082428	-0.736878
0.088988	-0.737499
0.095763	-0.738213
0.102751	-0.739053
0.109947	-0.739977
0.117347	-0.740956
0.124948	-0.742025
0.132745	-0.743143
0.140734	-0.744309
0.148911	-0.745535
0.157273	-0.746789
0.165814	-0.748081
0.174531	-0.749437
0.183420	-0.750816
0.192475	-0.752207
0.201694	-0.753643
0.211071	-0.755094
0.220602	-0.756573
0.230282	-0.758080
0.240108	-0.759571
0.250074	-0.761101
0.260176	-0.762665
0.270410	-0.764219
0.280771	-0.765765
0.291254	-0.767336
0.301854	-0.768924
0.312567	-0.770504
0.323388	-0.772074
0.334312	-0.773652
0.345334	-0.775236
0.356449	-0.776809
0.367653	-0.778382
0.378939	-0.779963
0.390304	-0.781535
0.401742	-0.783086
0.413247	-0.784640
0.424815	-0.786197
0.436440	-0.787732
0.448117	-0.789259
0.459840	-0.790761
0.471604	-0.792261
0.483403	-0.793766
0.495232	-0.795241
0.507084	-0.796698
0.518955	-0.798164
0.530838	-0.799619
0.542727	-0.801047
0.554617	-0.802463
0.566501	-0.803863
0.578373	-0.805259
0.590227	-0.806639
0.602056	-0.808019
0.613855	-0.809387
0.625616	-0.810724
0.637333	-0.812060
0.649000	-0.813397
0.660610	-0.814726
0.672156	-0.816045
0.683631	-0.817350
0.695028	-0.818645
0.706341	-0.819952
0.717563	-0.821254
0.728685	-0.822534
0.739702	-0.823820
0.750605	-0.825124
0.761388	-0.826420
0.772043	-0.827707
0.782564	-0.829017
0.792942	-0.830322
0.803169	-0.831637
0.813240	-0.832975
0.823146	-0.834298
0.832879	-0.835648
0.842432	-0.837017
0.851798	-0.838400
0.860969	-0.839799
0.869938	-0.841207
0.878696	-0.842666
0.887237	-0.844136
0.895553	-0.845628
0.903637	-0.847173
0.911480	-0.848727
0.919076	-0.850325
0.926418	-0.851961
0.933498	-0.853622
0.940308	-0.855361
0.946842	-0.857160
0.953092	-0.858985
0.959052	-0.860887
0.964713	-0.862858
0.970070	-0.864923
0.975115	-0.867083
0.979841	-0.869313
0.984241	-0.871688
0.988309	-0.874205
0.992036	-0.876887
0.995417	-0.879792
0.998443	-0.882970
1.001107	-0.886429
1.003402	-0.890307
1.005317	-0.894911
1.006843	-0.900528
1.007968	-0.905982
